Query,Response,language,intent
எனது கணக்கு அமைப்புகளை எவ்வாறு மாற்றுவது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அமைப்புகள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் கணக்கு அமைப்புகளை மாற்றவும்.,ta,unknown
ஒரு வணிகத்திற்கான கடன் பெற முடியுமா?,"ஆம், நாங்கள் வணிக கடன்களை வழங்குகிறோம். கடன் அதிகாரியுடன் உங்கள் வணிக கடன் விருப்பங்களைப் பற்றி விவாதிக்க ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
கணக்கு நல்லிணக்கத்திற்கான உங்கள் நடைமுறைகள் என்ன?,கணக்கு நல்லிணக்க நடைமுறைகளை எங்கள் வலைத்தளத்திலோ அல்லது குறிப்பிட்ட விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ காணலாம்.,ta,unknown
எனது அடமான பயன்பாட்டில் நான் எவ்வாறு உதவி பெற முடியும்?,"உங்கள் அடமான விண்ணப்பத்தின் உதவிக்கு, எங்கள் அடமானத் துறையைத் தொடர்பு கொள்ளுங்கள் அல்லது கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
அங்கீகரிக்கப்படாத பரிவர்த்தனையை நான் கவனித்தால் நான் என்ன செய்ய வேண்டும்?,"சிக்கலைத் தீர்க்கவும், உங்கள் கணக்கைப் பாதுகாக்கவும் வாடிக்கையாளர் சேவைக்கு எந்தவொரு அங்கீகரிக்கப்படாத பரிவர்த்தனைகளையும் உடனடியாகப் புகாரளிக்கவும்.",ta,unknown
உங்கள் வங்கி மூலம் கடன் அறிக்கையை நான் பெறலாமா?,கடன் அறிக்கைகள் கடன் அறிக்கையிடல் முகவர் மூலம் கிடைக்கின்றன. உங்கள் ஆன்லைன் வங்கி கணக்கு மூலம் அணுகல் இருக்கிறதா என்று சரிபார்க்கவும்.,ta,unknown
தனிப்பட்ட கடனுக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலம் தனிப்பட்ட கடனுக்கு விண்ணப்பிக்கவும் அல்லது கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.,ta,unknown
எனது வங்கிக் கணக்கை எனது மொபைல் பணப்பையுடன் இணைக்க முடியுமா?,"ஆம், உங்கள் வங்கிக் கணக்கை உங்கள் மொபைல் பணப்பையுடன் இணைக்கலாம். உங்கள் கணக்கைச் சேர்க்க உங்கள் மொபைல் வாலட் பயன்பாடு வழங்கிய வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
கணக்கு பராமரிப்புக்கான உங்கள் கட்டணம் என்ன?,கணக்கு பராமரிப்புக்கான கட்டணங்களை எங்கள் கட்டண அட்டவணையில் காணலாம். எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
புதிய டெபிட் கார்டை நான் எவ்வாறு கோரலாம்?,மாற்று அட்டையை ஆர்டர் செய்ய வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ புதிய டெபிட் கார்டைக் கோருங்கள்.,ta,unknown
காப்பீட்டு தயாரிப்புகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பல்வேறு காப்பீட்டு தயாரிப்புகளை வழங்குகிறோம். காப்பீட்டு விருப்பங்கள் குறித்த கூடுதல் தகவலுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
எனது கணக்கு விழிப்பூட்டல்களை எவ்வாறு நிர்வகிப்பது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து உங்கள் அறிவிப்புகளைத் தனிப்பயனாக்க 'எச்சரிக்கைகள்' பகுதியை அணுகுவதன் மூலம் உங்கள் கணக்கு விழிப்பூட்டல்களை நிர்வகிக்கவும்.,ta,unknown
எனது கணக்குகளுக்கு இடையில் தொடர்ச்சியான பரிமாற்றத்தை அமைக்க முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'பரிமாற்ற நிதிகள்' கீழ் பரிமாற்றத்தை திட்டமிடுவதன் மூலம் தொடர்ச்சியான பரிமாற்றத்தை அமைக்கலாம்.",ta,unknown
கணக்கு குறைந்தபட்ச நிலுவைகளில் உங்கள் கொள்கைகள் என்ன?,கணக்கு குறைந்தபட்ச இருப்பு தேவைகள் எங்கள் கணக்கு விதிமுறைகள் மற்றும் நிபந்தனைகளில் விவரிக்கப்பட்டுள்ளன. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
கார் கடனுக்கு நான் எவ்வாறு விண்ணப்பிக்க முடியும்?,ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலம் கார் கடனுக்கு விண்ணப்பிக்கவும் அல்லது கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.,ta,unknown
வரி தாக்கல் செய்வதில் எனக்கு உதவி கிடைக்குமா?,"வரி தாக்கல் செய்வதற்கான உதவிக்கு, வரி ஆலோசகர் அல்லது நிதித் திட்டமிடுபவருடன் கலந்தாலோசிப்பதைக் கவனியுங்கள். எங்கள் சேவைகள் மூலம் வளங்களையும் உதவிகளையும் நாங்கள் வழங்கலாம்.",ta,unknown
கூட்டுக் கணக்கை எவ்வாறு அமைப்பது?,"கூட்டுக் கணக்கை அமைக்க, ஒரு கிளையைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும் தேவையான ஆவணங்களை முடிக்கவும், அனைத்து கணக்கு வைத்திருப்பவர்களுக்கும் அடையாளத்தை வழங்கவும்.",ta,unknown
தற்காலிக ஓவர் டிராஃப்ட் வரம்பு அதிகரிப்பு பெற முடியுமா?,"ஆம், வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ அல்லது உங்கள் தேவைகளைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ தற்காலிக ஓவர் டிராஃப்ட் வரம்பு அதிகரிப்பைக் கோரலாம்.",ta,unknown
எனது கணக்கை எவ்வாறு மூடுவது?,"உங்கள் கணக்கை மூட, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது கணக்கு மூடல் செயல்முறையை முடிக்க ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
எனது கணக்கு ஒப்பந்தத்தின் நகலைப் பெறலாமா?,வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் அல்லது எங்கள் ஆன்லைன் வங்கி போர்ட்டல் மூலம் உங்கள் கணக்கு ஆவணங்களை அணுகுவதன் மூலம் உங்கள் கணக்கு ஒப்பந்தத்தின் நகலைக் கோருங்கள்.,ta,unknown
ஓய்வூதியத் திட்டத்திற்கான நிதி ஆலோசனையை நான் எவ்வாறு பெறுவது?,ஒரு கூட்டத்தை திட்டமிட எங்கள் ஓய்வூதிய திட்டமிடல் ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள் மற்றும் உங்கள் ஓய்வூதிய திட்டமிடல் தேவைகளுக்கு தனிப்பயனாக்கப்பட்ட நிதி ஆலோசனையைப் பெறுங்கள்.,ta,unknown
எனது ஆன்லைன் வங்கி கடவுச்சொல்லை மறந்துவிட்டால் நான் என்ன செய்ய வேண்டும்?,உள்நுழைவு பக்கத்தில் உள்ள வழிமுறைகளைப் பின்பற்றுவதன் மூலம் அல்லது உதவிக்காக வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் ஆன்லைன் வங்கி கடவுச்சொல்லை மீட்டமைக்கவும்.,ta,unknown
நீங்கள் முதலீட்டு சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் முதலீட்டு சேவைகளை வழங்குகிறோம். எங்கள் முதலீட்டு விருப்பங்கள் மற்றும் சேவைகளைப் பற்றி மேலும் அறிய எங்களைத் தொடர்பு கொள்ளுங்கள் அல்லது எங்கள் வலைத்தளத்தைப் பார்வையிடவும்.",ta,unknown
இழந்த அல்லது திருடப்பட்ட அட்டைகளைப் புகாரளிப்பதற்கான உங்கள் நடைமுறைகள் என்ன?,அட்டையைத் தடுக்க வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உடனடியாக இழந்த அல்லது திருடப்பட்ட அட்டைகளை அறிக்கை செய்யுங்கள்.,ta,unknown
எனது கணக்கு அறிக்கைகளை எவ்வாறு அணுகுவது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அறிக்கைகள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் கணக்கு அறிக்கைகளை அணுகவும்.,ta,unknown
மாணவர் பட்ஜெட்டில் நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் மாணவர்களுக்கு பட்ஜெட் உதவியை வழங்குகிறோம். படிக்கும் போது உங்கள் நிதிகளை நிர்வகிக்க உதவி பெற எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
தனிப்பட்ட கடன் வரிக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,கடன் அதிகாரியுடன் விண்ணப்ப செயல்முறையை முடிக்க எங்கள் வலைத்தளம் அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலம் தனிப்பட்ட கடன் வரிக்கு விண்ணப்பிக்கவும்.,ta,unknown
எனது கணக்கு வரலாற்றின் நகலைப் பெற முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'கணக்கு செயல்பாடு' பிரிவு மூலம் தகவல்களைக் கோருவதன் மூலம் உங்கள் கணக்கு வரலாற்றின் நகலைப் பெறலாம்.",ta,unknown
மோசடி பரிவர்த்தனைகளைக் கையாள உங்கள் நடைமுறைகள் என்ன?,மோசடி பரிவர்த்தனைகளைக் கையாள்வதற்கான நடைமுறைகள் எங்கள் இணையதளத்தில் விவரிக்கப்பட்டுள்ளன. நீங்கள் மோசடியை சந்தேகித்தால் உடனடியாக வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.,ta,unknown
புதிய நேரடி வைப்புத்தொகையை எவ்வாறு அமைப்பது?,உங்கள் வங்கி கணக்கு விவரங்கள் மற்றும் வழிமுறைகளை உங்கள் முதலாளிக்கு வழங்குவதன் மூலமோ அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கு மூலம் கட்டமைப்பதன் மூலமோ புதிய நேரடி வைப்புத்தொகையை அமைக்கவும்.,ta,unknown
தொலைபேசி அழைப்பு மூலம் எனது கணக்கை அணுக முடியுமா?,பெரும்பாலான கணக்கு சேவைகள் தொலைபேசி ஆதரவு மூலம் கிடைக்கின்றன. தொலைபேசியில் உங்கள் கணக்கில் உதவிக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.,ta,unknown
எனது கணக்கு அமைப்புகளை எவ்வாறு நிர்வகிக்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அமைப்புகள்' பிரிவை அணுகுவதன் மூலம் உங்கள் கணக்கு அமைப்புகளை நிர்வகிக்கவும்.,ta,unknown
நீங்கள் நிதி கல்வியறிவு வளங்களை வழங்குகிறீர்களா?,"ஆம், நாங்கள் நிதி கல்வியறிவு வளங்களை வழங்குகிறோம். கல்விப் பொருட்கள் மற்றும் பட்டறைகளை அணுக எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
கணக்கு செயலற்ற கட்டணத்தில் உங்கள் கொள்கை என்ன?,கணக்கு செயலற்ற கட்டணம் மற்றும் கொள்கைகள் எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளன. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
வணிக கிரெடிட் கார்டுக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலமும் ஆன்லைன் விண்ணப்பத்தை நிறைவு செய்வதன் மூலமோ அல்லது எங்கள் வணிக கடன் துறையைத் தொடர்புகொள்வதன் மூலமோ வணிக கிரெடிட் கார்டுக்கு விண்ணப்பிக்கவும்.,ta,unknown
எனது கணக்கு அறிக்கையைப் புரிந்துகொள்ள நான் உதவி பெறலாமா?,"ஆம், ஏதேனும் கட்டணங்கள் அல்லது விவரங்கள் குறித்து தெளிவுபடுத்த வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் கணக்கு அறிக்கையைப் புரிந்துகொள்வதற்கான உதவியைப் பெறலாம்.",ta,unknown
எனது கடனைப் பற்றி எனக்கு கேள்வி இருந்தால் நான் என்ன செய்ய வேண்டும்?,"உங்கள் கடனைப் பற்றிய கேள்விகளுக்கு, எங்கள் கடன் துறையைத் தொடர்பு கொள்ளுங்கள் அல்லது உதவிக்காக கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
கணக்கு செயலற்ற கட்டணத்தில் உங்கள் கொள்கைகள் என்ன?,கணக்கு செயலற்ற கட்டணம் மற்றும் கொள்கைகள் எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளன. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
ஹாய்,"ஹாய், என் பெயர் XYZ வங்கியில் இருந்து ஆலிஸ். நான் உங்களுக்கு எவ்வாறு உதவ முடியும்?",ta,unknown
உங்கள் சேவைகளைப் பற்றி சொல்லுங்கள்,"உலகெங்கிலும் உள்ள 5 நகரங்களில் கிளைகளை வைத்திருக்கும் சர்வதேச வங்கியை நாங்கள் வழிநடத்துகிறோம். நாங்கள் சேமிப்புக் கணக்கு, நடப்புக் கணக்கு, கடன்கள் மற்றும் கிரெடிட் கார்டுகளை வழங்குகிறோம்.",ta,unknown
Wie kann ich ein neues Bankkonto eröffnen?,"Um ein neues Bankkonto zu eröffnen, besuchen Sie unsere Website und klicken Sie auf ""Open Account"" oder besuchen Sie unsere Filialen mit Ihren Ausweisdokumenten.",de,unknown
"Was muss ich bereitstellen, um ein Bankkonto zu eröffnen?","Sie müssen eine gültige ID, einen Adressnachweis und Ihre Sozialversicherungsnummer oder eine gleichwertige Identifikationsnummer vorlegen.",de,unknown
Wie kann ich meinen Kontostand überprüfen?,"Sie können Ihren Kontostand überprüfen, indem Sie sich in unserem Online -Banking -Portal oder in unserem mobilen App anmelden. Sie können Ihr Gleichgewicht auch an einem Geldautomaten überprüfen.",de,unknown
Wie übertrage ich Geld zwischen Konten?,"Melden Sie sich in Ihr Online -Banking -Konto oder Ihre mobile App an, wählen Sie ""Überweisungsfonds"", wählen Sie die Konten aus und geben Sie den Betrag ein, den Sie übertragen möchten.",de,unknown
Kann ich eine direkte Einzahlung für meinen Gehaltsscheck einrichten?,"Ja, Sie können eine direkte Einzahlung einrichten, indem Sie Ihrem Arbeitgeber Ihre Kontonummer und die Routing -Nummer unserer Bank zur Verfügung stellen.",de,unknown
Wie melde ich eine verlorene oder gestohlene Debitkarte?,"Melden Sie eine verlorene oder gestohlene Debitkarte sofort, indem Sie unseren Kundendienst unter 1-800-123-4567 oder über unsere mobile App anrufen.",de,unknown
"Was soll ich tun, wenn ich mein Online -Banking -Passwort vergesse?","Klicken Sie auf der Anmeldeseite auf 'Passwort vergessen' und befolgen Sie die Anweisungen, um Ihr Passwort mit Ihrer registrierten E -Mail -Adresse zurückzusetzen.",de,unknown
Wie kann ich einen Kredit beantragen?,"Um ein Darlehen zu beantragen, besuchen Sie unsere Website und füllen Sie das Online -Bewerbungsformular aus oder besuchen Sie eine unserer Filialen, um mit einem Kreditsachen zu sprechen.",de,unknown
Was sind Ihre aktuellen Zinssätze für Sparkonten?,"Bitte besuchen Sie unsere Website oder wenden Sie sich an den Kundendienst, um die aktuellsten Informationen zu Zinssätzen für Sparkonten zu erhalten.",de,unknown
Wie schließe ich mein Bankkonto?,"Um Ihr Bankkonto zu schließen, besuchen Sie eine Filiale mit Ihrem ID und verbleibenden Schecks oder Karten. Alternativ können Sie die Schließung des Kontos über das Online -Banking anfordern.",de,unknown
Kann ich meine persönlichen Daten online aktualisieren?,"Ja, Sie können Ihre persönlichen Daten wie Adresse oder Telefonnummer aktualisieren, indem Sie sich in Ihrem Online -Banking -Konto anmelden und auf den Abschnitt ""Profil"" zugreifen.",de,unknown
"Was ist der Prozess, um eine Transaktion zu bestreiten?","Um eine Transaktion zu bestreiten, wenden Sie sich an unseren Kundendienst mit Ihren Kontodaten und Informationen zu der Transaktion, die Sie bestreiten möchten.",de,unknown
Wie kann ich ein neues Scheckbuch bestellen?,"Sie können ein neues Scheckbuch über unser Online -Banking -Portal, mobile App oder einen unserer Filialen bestellen.",de,unknown
Was sind Ihre Gebühren für Überziehungsschutz?,Die Gebühren für den Überziehungsschutz variieren. Weitere Informationen finden Sie in unserem Gebührenplan auf unserer Website oder wenden Sie sich an den Kundendienst.,de,unknown
Wie kann ich mein Kreditlimit erhöhen?,"Um eine Erhöhung Ihres Kreditlimits anzufordern, melden Sie sich in Ihrem Online -Banking -Konto an und bewerben Sie sich über den Kreditkartenabschnitt oder rufen Sie den Kundendienst an.",de,unknown
Wie aktiviere ich meine neue Kreditkarte?,"Aktivieren Sie Ihre neue Kreditkarte, indem Sie die mit Ihrer Karte bereitgestellte Aktivierungsnummer oder anmelden, indem Sie sich in Ihrem Online -Banking -Konto anmelden.",de,unknown
Kann ich wiederkehrende Zahlungen planen?,"Ja, Sie können wiederkehrende Zahlungen über unser Online -Banking -Portal oder unsere mobile App planen, indem Sie automatische Zahlungen für Ihre Rechnungen einrichten.",de,unknown
Wie lautet die Richtlinien Ihrer Bank für ausländische Transaktionen?,"Ausländische Transaktionsgebühren und -richtlinien finden Sie auf unserer Website oder durch Kontakt mit dem Kundendienst für Details, die für Ihr Konto spezifisch sind.",de,unknown
Wie kann ich eine Bankaussage anfordern?,"Sie können eine Bankabrechnung über Online -Banking, unsere mobile App oder durch Kontakt mit dem Kundendienst anfordern, um eine Erklärung an Sie zu senden.",de,unknown
Bieten Sie Finanzplanungsdienstleistungen an?,"Ja, wir bieten Finanzplanungsdienstleistungen an. Bitte besuchen Sie unsere Website oder wenden Sie sich an unsere Finanzberater, um weitere Informationen zu erhalten und eine Beratung zu vereinbaren.",de,unknown
"Was soll ich tun, wenn ich in meinem Konto betrügerische Aktivitäten vermute?","Wenn Sie betrügerische Aktivitäten vermuten, wenden Sie sich sofort an unseren Kundenservice, um ihn zu melden und Ihr Konto zu sichern.",de,unknown
Wie kann ich Warnungen für meine Kontotransaktionen einrichten?,"Sie können Kontowarnungen einrichten, indem Sie sich in Ihrem Online -Banking -Konto anmelden und die Option ""Warnungen"" auswählen, um Benachrichtigungen für verschiedene Kontoaktivitäten anzupassen.",de,unknown
"Was ist der maximale Betrag, den ich von einem Geldautomaten abheben kann?",Die maximale Auszahlungslimit des Geldautomaten variiert je nach Kontokontyp und Standort. Bitte erkundigen Sie sich mit Ihren Kontodaten oder wenden Sie sich an den Kundendienst nach bestimmten Grenzen.,de,unknown
Kann ich meine Debitkarte international verwenden?,"Ja, Sie können Ihre Debitkarte international verwenden. Benachrichtigen Sie uns vor dem Reisen, um Probleme zu vermeiden, wobei Ihre Karte blockiert wird.",de,unknown
Wie kann ich den Status meines Kreditantrags überprüfen?,"Um den Status Ihres Kreditantrags zu überprüfen, melden Sie sich in Ihrem Online -Banking -Konto an oder wenden Sie sich an unsere Kreditabteilung, um Aktualisierungen zu erhalten.",de,unknown
Was sind Ihre Zweigzeiten?,"Die Filiale variieren je nach Standort. Bitte besuchen Sie unsere Website oder wenden Sie sich an die nächstgelegene Niederlassung, um bestimmte Betriebszeiten zu erhalten.",de,unknown
Wie richte ich Kontowarnungen ein?,"Melden Sie sich in Ihr Online -Banking -Konto an, wechseln Sie in den Abschnitt ""Warnungen"" und wählen Sie die Arten von Warnungen, die Sie für Ihre Kontoaktivitäten erhalten möchten.",de,unknown
"Was soll ich tun, wenn mein Konto eingefroren ist?","Wenn Ihr Konto eingefroren ist, wenden Sie sich sofort an unseren Kundendienst, um das Problem zu beheben und die erforderlichen Informationen bereitzustellen.",de,unknown
Kann ich meine Kontoverlauf online anzeigen?,"Ja, Sie können Ihren Kontoverlauf online anzeigen, indem Sie sich in Ihrem Online -Banking -Konto anmelden und auf den Abschnitt ""Kontoverlauf"" zugreifen.",de,unknown
Wie kann ich ein Darlehen für ein neues Auto bekommen?,"Um einen Autokredit zu beantragen, besuchen Sie unsere Website, um die Online -Bewerbung abzuschließen oder eine Filiale zu besuchen, um mit einem Kreditsachen zu sprechen.",de,unknown
Bieten Sie mobile Scheckeinzahlungen an?,"Ja, wir bieten eine mobile Scheckeinzahlung über unsere Bank -App an. Machen Sie einfach ein Foto des Schecks und befolgen Sie die Anweisungen in der App.",de,unknown
Wie stoppe ich die Zahlung bei einem Scheck?,"Um die Zahlung bei einem Scheck zu stoppen, wenden Sie sich an unseren Kundendienst oder besuchen Sie eine Filiale mit Ihren Kontodaten und Informationen zum Scheck.",de,unknown
Wie lautet Ihre Richtlinien für Mindestguthaben?,"Unsere Richtlinie zu Mindestguthaben variiert je nach Kontotyp. Bitte überprüfen Sie die Kontodaten auf unserer Website oder wenden Sie sich an den Kundendienst, um Einzelheiten zu erhalten.",de,unknown
Wie kann ich meinem Konto einen autorisierten Benutzer hinzufügen?,"Um einen autorisierten Benutzer hinzuzufügen, besuchen Sie eine Filiale oder melden Sie sich in Ihr Online -Banking -Konto an und befolgen Sie die Anweisungen, um einen neuen Benutzer hinzuzufügen.",de,unknown
Wie richte ich Online -Banking ein?,"Um Online -Banking einzurichten, besuchen Sie unsere Website und befolgen Sie die Anweisungen, um sich mit Ihren Kontoinformationen für Online -Zugriff zu registrieren.",de,unknown
Kann ich mehrere Konten für eine einfachere Verwaltung verknüpfen?,"Ja, Sie können mehrere Konten für das einfacheren Management über unsere Online -Banking -Plattform oder mobile App verknüpfen.",de,unknown
Wie aktualisiere ich meine Kontoeinstellungen?,"Aktualisieren Sie Ihre Kontoeinstellungen, indem Sie sich in Ihrem Online -Banking -Konto anmelden und zu dem Abschnitt ""Einstellungen"" oder ""Einstellungen"" navigieren.",de,unknown
Kann ich eine temporäre Kreditgrenze erhöhen?,"Um eine temporäre Kreditlimit -Erhöhung anzufordern, wenden Sie sich an den Kundendienst oder wenden Sie sich an Ihrem Online -Banking -Konto an und beantragen Sie eine vorübergehende Erhöhung.",de,unknown
"Wie überprüfe ich, ob mein Antrag genehmigt ist?","Sie können den Status Ihrer Bewerbung überprüfen, indem Sie sich in Ihrem Online -Banking -Konto anmelden oder sich an den Kundendienst wenden, um ein Update zu erhalten.",de,unknown
Wie kann ich meinen Stift ändern?,"Um Ihre PIN zu ändern, melden Sie sich in Ihr Online -Banking -Konto an oder besuchen Sie einen Geldautomaten und befolgen Sie die Anweisungen, um Ihre PIN zu aktualisieren.",de,unknown
Bieten Sie Investmentdienstleistungen an?,"Ja, wir bieten eine Reihe von Investmentdienstleistungen an. Bitte besuchen Sie unsere Investment Services -Seite oder wenden Sie sich an einen Finanzberater, um weitere Informationen zu erhalten.",de,unknown
Wie kann ich bei einem Scheck eine Bezahlung anfordern?,"Fordern Sie eine Stoppzahlung bei einem Scheck an, indem Sie sich an unseren Kundenservice oder über das Online -Banking wenden, wenn die Option verfügbar ist.",de,unknown
Welche Optionen für Altersvorsorgekonten haben Sie?,"Wir bieten verschiedene Rentenkonto -Optionen an, einschließlich IRAs und 401 (k) s. Bitte besuchen Sie unsere Seite für die Altersvorsorge oder konsultieren Sie einen Finanzberater.",de,unknown
Kann ich Unterstützung bei der Budgetierung bekommen?,"Ja, wir bieten Budgetierungshilfe- und Finanzplanungsdienstleistungen an. Bitte kontaktieren Sie uns, um eine Beratung mit einem unserer Berater zu vereinbaren.",de,unknown
Wie kann ich mich für E-Statements einschreiben?,"Um sich für E-Statements anzumelden, melden Sie sich in Ihr Online-Banking-Konto an und wählen Sie den Abschnitt ""Anweisungen"" aus, um sich für die elektronische Lieferung zu entscheiden.",de,unknown
"Was soll ich tun, wenn ich eine verdächtige E -Mail erhalte, die behauptet, von der Bank zu sein?",Klicken Sie nicht auf Links oder geben Sie persönliche Informationen an. Leiten Sie die E -Mail an unsere Betrugsabteilung unter Betrug@example.com zur Untersuchung weiter.,de,unknown
Wie kann ich eine Kopie meiner Kreditauskunft erhalten?,"Sie können eine Kopie Ihrer Kreditauskunft über die Kreditauskunfteien anfordern oder überprüfen, ob sie über Ihr Online -Banking -Konto verfügbar sind.",de,unknown
Bieten Sie Studentenkonten an?,"Ja, wir bieten Studentenkonten mit besonderen Funktionen und Vorteilen an. Bitte besuchen Sie unsere Seite für Studentenkonten oder wenden Sie sich an den Kundendienst für Details.",de,unknown
Wie ändere ich meine Kontaktinformationen?,"Um Ihre Kontaktinformationen zu ändern, melden Sie sich in Ihr Online -Banking -Konto an und aktualisieren Sie Ihre Daten im Abschnitt ""Profil"".",de,unknown
Kann ich Warnungen für ungewöhnliche Kontoaktivitäten einrichten?,"Ja, Sie können Warnungen für ungewöhnliche Kontoaktivitäten über unsere Online -Banking -Plattform oder mobile App einrichten, um Ihr Konto genauer zu überwachen.",de,unknown
Was ist Ihre Richtlinie für Drahtübertragungen?,"Unsere Richtlinien zu Wire -Überweisungen umfassen Gebühren und Grenzen, die auf unserer Website oder durch Kontakt mit dem Kundendienst für detaillierte Informationen zu finden sind.",de,unknown
Wie kann ich eine geplante Zahlung stornieren?,"Um eine geplante Zahlung zu kündigen, melden Sie sich in Ihr Online -Banking -Konto an, navigieren Sie zu „geplanten Zahlungen“ und befolgen Sie die Anweisungen zur Absage.",de,unknown
"Was soll ich tun, wenn ich vermute, dass mein Konto kompromittiert wurde?","Wenden Sie sich sofort an unseren Kundendienst, um das Problem zu melden und Schritte zu ergreifen, um Ihr Konto über einen weiteren nicht autorisierten Zugriff zu sichern.",de,unknown
Kann ich ein Darlehen für die Verbesserung des Eigenheims erhalten?,"Ja, wir bieten Kredite für die Verbesserung der Heimat an. Bewerben Sie sich online oder besuchen Sie eine Filiale, um mit einem Kreditsachen über Ihre Optionen zu sprechen.",de,unknown
Wie kann ich eine Änderung in meinem Kontotyp anfordern?,"Um eine Änderung Ihres Kontotyps anzufordern, wenden Sie sich an den Kundendienst oder besuchen Sie eine Filiale, um die verfügbaren Optionen und Anforderungen zu besprechen.",de,unknown
Wie greife ich online auf meine Kontoaussagen zu?,"Melden Sie sich in Ihr Online -Banking -Konto an und navigieren Sie zum Abschnitt ""Anweisungen"", um Ihre Kontoanweisungen anzuzeigen und herunterzuladen.",de,unknown
